timestamp,node,bmc_power_watt,gpu_power_watt,gpu_power_limit_watt
2026-05-20T23:05:54+02:00,gruss-2,N/A,299.11,300.00
2026-05-20T23:06:04+02:00,gruss-2,N/A,298.89,300.00
2026-05-20T23:06:14+02:00,gruss-2,N/A,298.70,300.00
2026-05-20T23:06:25+02:00,gruss-2,N/A,298.83,300.00
2026-05-20T23:06:35+02:00,gruss-2,N/A,299.10,300.00
2026-05-20T23:06:45+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:06:56+02:00,gruss-2,N/A,299.29,300.00
2026-05-20T23:07:06+02:00,gruss-2,N/A,300.31,300.00
2026-05-20T23:07:16+02:00,gruss-2,N/A,298.51,300.00
2026-05-20T23:07:27+02:00,gruss-2,N/A,299.31,300.00
2026-05-20T23:07:37+02:00,gruss-2,N/A,298.88,300.00
2026-05-20T23:07:48+02:00,gruss-2,N/A,298.51,300.00
2026-05-20T23:07:58+02:00,gruss-2,N/A,298.42,300.00
2026-05-20T23:08:08+02:00,gruss-2,N/A,298.49,300.00
2026-05-20T23:08:19+02:00,gruss-2,N/A,299.45,300.00
2026-05-20T23:08:29+02:00,gruss-2,N/A,298.88,300.00
2026-05-20T23:08:39+02:00,gruss-2,N/A,299.02,300.00
2026-05-20T23:08:50+02:00,gruss-2,N/A,298.94,300.00
2026-05-20T23:09:00+02:00,gruss-2,N/A,299.25,300.00
2026-05-20T23:09:11+02:00,gruss-2,N/A,300.35,300.00
2026-05-20T23:09:21+02:00,gruss-2,N/A,299.28,300.00
2026-05-20T23:09:32+02:00,gruss-2,N/A,299.78,300.00
2026-05-20T23:09:42+02:00,gruss-2,N/A,299.03,300.00
2026-05-20T23:09:52+02:00,gruss-2,N/A,298.57,300.00
2026-05-20T23:10:03+02:00,gruss-2,N/A,298.55,300.00
2026-05-20T23:10:13+02:00,gruss-2,N/A,299.13,300.00
2026-05-20T23:10:23+02:00,gruss-2,N/A,298.83,300.00
2026-05-20T23:10:34+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:10:44+02:00,gruss-2,N/A,299.26,300.00
2026-05-20T23:10:54+02:00,gruss-2,N/A,298.23,300.00
2026-05-20T23:11:05+02:00,gruss-2,N/A,298.82,300.00
2026-05-20T23:11:15+02:00,gruss-2,N/A,299.22,300.00
2026-05-20T23:11:26+02:00,gruss-2,N/A,299.28,300.00
2026-05-20T23:11:36+02:00,gruss-2,N/A,299.59,300.00
2026-05-20T23:11:46+02:00,gruss-2,N/A,299.02,300.00
2026-05-20T23:11:57+02:00,gruss-2,N/A,299.03,300.00
2026-05-20T23:12:07+02:00,gruss-2,N/A,298.99,300.00
2026-05-20T23:12:18+02:00,gruss-2,N/A,299.15,300.00
2026-05-20T23:12:29+02:00,gruss-2,N/A,299.01,300.00
2026-05-20T23:12:39+02:00,gruss-2,N/A,299.65,300.00
2026-05-20T23:12:49+02:00,gruss-2,N/A,299.69,300.00
2026-05-20T23:13:00+02:00,gruss-2,N/A,298.98,300.00
2026-05-20T23:13:10+02:00,gruss-2,N/A,298.91,300.00
2026-05-20T23:13:20+02:00,gruss-2,N/A,298.74,300.00
2026-05-20T23:13:31+02:00,gruss-2,N/A,298.86,300.00
2026-05-20T23:13:41+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:13:51+02:00,gruss-2,N/A,298.82,300.00
2026-05-20T23:14:02+02:00,gruss-2,N/A,299.38,300.00
2026-05-20T23:14:12+02:00,gruss-2,N/A,299.66,300.00
2026-05-20T23:14:22+02:00,gruss-2,N/A,299.23,300.00
2026-05-20T23:14:33+02:00,gruss-2,N/A,299.14,300.00
2026-05-20T23:14:43+02:00,gruss-2,N/A,299.02,300.00
2026-05-20T23:14:54+02:00,gruss-2,N/A,298.72,300.00
2026-05-20T23:15:04+02:00,gruss-2,N/A,298.53,300.00
2026-05-20T23:15:14+02:00,gruss-2,N/A,299.60,300.00
2026-05-20T23:15:25+02:00,gruss-2,N/A,299.05,300.00
2026-05-20T23:15:35+02:00,gruss-2,N/A,298.86,300.00
2026-05-20T23:15:46+02:00,gruss-2,N/A,299.43,300.00
