timestamp, power.draw [W]
2026/04/20 23:06:05.069, 8.21 W
2026/04/20 23:06:15.072, 8.40 W
2026/04/20 23:06:25.076, 8.31 W
2026/04/20 23:06:35.079, 8.40 W
2026/04/20 23:06:45.081, 8.31 W
2026/04/20 23:06:55.084, 8.31 W
2026/04/20 23:07:05.087, 8.51 W
2026/04/20 23:07:15.091, 8.70 W
2026/04/20 23:07:25.094, 8.41 W
2026/04/20 23:07:35.097, 10.45 W
2026/04/20 23:07:45.100, 8.50 W
2026/04/20 23:07:55.104, 8.60 W
2026/04/20 23:08:05.107, 8.31 W
2026/04/20 23:08:15.110, 8.31 W
2026/04/20 23:08:25.114, 8.50 W
2026/04/20 23:08:35.117, 8.50 W
2026/04/20 23:08:45.121, 8.70 W
2026/04/20 23:08:55.124, 8.40 W
2026/04/20 23:09:05.127, 8.60 W
2026/04/20 23:09:15.130, 8.50 W
2026/04/20 23:09:25.133, 8.70 W
2026/04/20 23:09:35.136, 14.84 W
2026/04/20 23:09:45.150, 8.31 W
2026/04/20 23:09:55.153, 8.80 W
2026/04/20 23:10:05.157, 8.69 W
2026/04/20 23:10:15.161, 8.80 W
2026/04/20 23:10:25.164, 8.50 W
2026/04/20 23:10:35.168, 8.31 W
2026/04/20 23:10:45.171, 8.70 W
2026/04/20 23:10:55.175, 8.40 W
2026/04/20 23:11:05.178, 8.40 W
2026/04/20 23:11:15.182, 8.50 W
2026/04/20 23:11:25.185, 8.60 W
2026/04/20 23:11:35.188, 8.60 W
2026/04/20 23:11:45.192, 8.40 W
2026/04/20 23:11:55.195, 8.30 W
2026/04/20 23:12:05.198, 8.50 W
2026/04/20 23:12:15.202, 8.40 W
2026/04/20 23:12:25.204, 10.26 W
2026/04/20 23:12:35.208, 8.50 W
2026/04/20 23:12:45.211, 8.31 W
2026/04/20 23:12:55.214, 8.40 W
2026/04/20 23:13:05.217, 8.11 W
2026/04/20 23:13:15.220, 8.40 W
2026/04/20 23:13:25.224, 8.51 W
2026/04/20 23:13:35.227, 8.40 W
2026/04/20 23:13:45.230, 8.60 W
2026/04/20 23:13:55.233, 8.79 W
2026/04/20 23:14:05.237, 8.60 W
2026/04/20 23:14:15.240, 9.09 W
2026/04/20 23:14:25.244, 8.79 W
2026/04/20 23:14:35.247, 8.79 W
2026/04/20 23:14:45.251, 8.60 W
2026/04/20 23:14:55.253, 8.60 W
2026/04/20 23:15:05.257, 8.31 W
2026/04/20 23:15:15.260, 8.60 W
2026/04/20 23:15:25.263, 8.60 W
2026/04/20 23:15:35.267, 8.40 W
2026/04/20 23:15:45.269, 8.31 W
2026/04/20 23:15:55.273, 8.41 W
2026/04/20 23:16:05.276, 8.21 W
2026/04/20 23:16:15.279, 8.21 W
2026/04/20 23:16:25.283, 8.70 W
2026/04/20 23:16:35.285, 8.51 W
2026/04/20 23:16:45.288, 8.40 W
2026/04/20 23:16:55.292, 8.21 W
2026/04/20 23:17:05.295, 8.40 W
2026/04/20 23:17:15.298, 8.01 W
2026/04/20 23:17:25.302, 8.99 W
2026/04/20 23:17:35.305, 8.60 W
2026/04/20 23:17:45.309, 8.69 W
2026/04/20 23:17:55.312, 8.60 W
2026/04/20 23:18:05.315, 8.40 W
2026/04/20 23:18:15.318, 8.50 W
2026/04/20 23:18:25.321, 8.69 W
2026/04/20 23:18:35.325, 8.69 W
2026/04/20 23:18:45.328, 14.64 W
2026/04/20 23:18:55.332, 8.70 W
2026/04/20 23:19:05.335, 8.21 W
2026/04/20 23:19:15.338, 8.51 W
2026/04/20 23:19:25.341, 8.21 W
2026/04/20 23:19:35.344, 8.41 W
2026/04/20 23:19:45.347, 8.50 W
2026/04/20 23:19:55.351, 8.50 W
2026/04/20 23:20:05.354, 8.60 W
2026/04/20 23:20:15.358, 8.30 W
2026/04/20 23:20:25.361, 8.69 W
2026/04/20 23:20:35.365, 8.40 W
2026/04/20 23:20:45.368, 8.40 W
2026/04/20 23:20:55.371, 8.11 W
2026/04/20 23:21:05.374, 8.50 W
2026/04/20 23:21:15.377, 8.11 W
2026/04/20 23:21:25.381, 14.65 W
2026/04/20 23:21:35.401, 8.40 W
2026/04/20 23:21:45.404, 8.50 W
2026/04/20 23:21:55.407, 8.50 W
2026/04/20 23:22:05.411, 8.50 W
2026/04/20 23:22:15.413, 9.77 W
2026/04/20 23:22:25.417, 8.30 W
2026/04/20 23:22:35.420, 8.50 W
2026/04/20 23:22:45.423, 8.70 W
2026/04/20 23:22:55.426, 8.60 W
2026/04/20 23:23:05.430, 10.74 W
2026/04/20 23:23:15.433, 9.09 W
2026/04/20 23:23:25.436, 8.99 W
2026/04/20 23:23:35.439, 8.60 W
2026/04/20 23:23:45.443, 8.99 W
2026/04/20 23:23:55.446, 10.45 W
2026/04/20 23:24:05.450, 8.40 W
2026/04/20 23:24:15.452, 8.60 W
2026/04/20 23:24:25.455, 8.30 W
2026/04/20 23:24:35.459, 8.60 W
2026/04/20 23:24:45.462, 14.74 W
2026/04/20 23:24:55.471, 8.31 W
2026/04/20 23:25:05.474, 8.40 W
2026/04/20 23:25:15.477, 8.12 W
2026/04/20 23:25:25.480, 8.40 W
2026/04/20 23:25:35.484, 14.54 W
2026/04/20 23:25:45.488, 8.40 W
2026/04/20 23:25:55.491, 8.40 W
2026/04/20 23:26:05.494, 8.40 W
2026/04/20 23:26:15.497, 8.60 W
2026/04/20 23:26:25.500, 9.58 W
2026/04/20 23:26:35.504, 8.40 W
2026/04/20 23:26:45.507, 8.31 W
2026/04/20 23:26:55.509, 8.50 W
2026/04/20 23:27:05.513, 8.41 W
2026/04/20 23:27:15.516, 8.60 W
2026/04/20 23:27:25.519, 8.60 W
2026/04/20 23:27:35.523, 8.70 W
2026/04/20 23:27:45.526, 8.60 W
2026/04/20 23:27:55.530, 8.79 W
2026/04/20 23:28:05.532, 9.18 W
2026/04/20 23:28:15.536, 8.60 W
2026/04/20 23:28:25.539, 8.80 W
2026/04/20 23:28:35.542, 8.60 W
2026/04/20 23:28:45.545, 8.70 W
2026/04/20 23:28:55.548, 8.40 W
2026/04/20 23:29:05.552, 8.70 W
2026/04/20 23:29:15.554, 8.21 W
2026/04/20 23:29:25.558, 8.41 W
2026/04/20 23:29:35.561, 8.41 W
2026/04/20 23:29:45.564, 8.60 W
2026/04/20 23:29:55.567, 8.51 W
2026/04/20 23:30:05.570, 8.30 W
2026/04/20 23:30:15.574, 8.50 W
2026/04/20 23:30:25.577, 8.80 W
2026/04/20 23:30:35.581, 8.21 W
2026/04/20 23:30:45.584, 8.60 W
2026/04/20 23:30:55.587, 11.04 W
2026/04/20 23:31:05.590, 8.50 W
2026/04/20 23:31:15.593, 8.60 W
2026/04/20 23:31:25.596, 8.11 W
2026/04/20 23:31:35.600, 8.60 W
2026/04/20 23:31:45.603, 8.21 W
2026/04/20 23:31:55.606, 8.69 W
2026/04/20 23:32:05.609, 8.21 W
2026/04/20 23:32:15.613, 8.69 W
2026/04/20 23:32:25.616, 8.60 W
2026/04/20 23:32:35.619, 8.70 W
2026/04/20 23:32:45.622, 8.69 W
2026/04/20 23:32:55.625, 8.70 W
2026/04/20 23:33:05.628, 8.89 W
2026/04/20 23:33:15.633, 8.50 W
2026/04/20 23:33:25.637, 8.60 W
