,comparison,feature,cohen_d,d_significant,pval_raw,pval_corrected,reject_H0,mean_False,mean_True,direction
44,False vs True,prop_X,-0.234,False,0.4226780741706355,0.6030894472922483,False,0.00017806267806267807,0.0014216912951090165,True > False
45,False vs True,present_count,-0.45,False,0.005574569865060779,0.03432761443221637,True,8.833333333333334,11.444444444444445,True > False
46,False vs True,past_count,-0.327,False,0.039090970824506716,0.09662362943780753,False,6.981481481481482,8.61111111111111,True > False
47,False vs True,future_count,-0.162,False,0.5250680922844516,0.6894283806044785,False,0.09259259259259259,0.16666666666666666,True > False
48,False vs True,conditional_count,0.0,False,1.0,1.0,False,0.018518518518518517,0.018518518518518517,False > True
49,False vs True,subjunctive_count,-0.087,False,0.765594483995764,0.895745546275044,False,0.037037037037037035,0.05555555555555555,True > False
50,False vs True,indicative_count,-0.313,False,0.0071576935829112745,0.038065915872755415,True,10.12962962962963,11.777777777777779,True > False
51,False vs True,imperative_count,,False,,,False,0.0,0.0,False > True
52,False vs True,infinitive_count,-0.402,False,0.012438922933686113,0.04410163585579622,True,3.4074074074074074,4.814814814814815,True > False
53,False vs True,past_participle_count,-0.55,False,0.02572771061239741,0.07525355354126242,False,5.0,7.611111111111111,True > False
54,False vs True,present_participle_count,-0.244,False,0.20672467754639912,0.35053314888302456,False,0.9259259259259259,1.1296296296296295,True > False
55,False vs True,past_simple_count,0.338,False,0.08676901458361597,0.18799953159783458,False,1.9814814814814814,1.0,False > True
56,False vs True,present_prop,-0.497,False,0.0070389004325750425,0.038065915872755415,True,0.0646068611579179,0.0773085726818376,True > False
57,False vs True,past_prop,-0.203,False,0.252143301483322,0.4041200859390229,False,0.054937740192240306,0.0609483574482469,True > False
58,False vs True,future_prop,-0.213,False,0.4148230671847747,0.6030894472922483,False,0.000435423930217277,0.000902279559695741,True > False
59,False vs True,conditional_prop,-0.012,False,1.0,1.0,False,0.00012860082304526747,0.00014029180695847364,True > False
60,False vs True,subjunctive_prop,-0.114,False,1.0,1.0,False,0.00023468328141225338,0.00044921562208134747,True > False
61,False vs True,indicative_prop,-0.509,False,0.0102924820676535,0.03944430315051616,True,0.07294194406761233,0.07910216897774386,True > False
62,False vs True,imperative_prop,,False,,,False,0.0,0.0,False > True
63,False vs True,infinitive_prop,-0.282,False,0.15409001464150937,0.27973453176450197,False,0.024628009365708945,0.029481697016196327,True > False
64,False vs True,past_participle_prop,-0.461,False,0.02812018585148509,0.08024540840545746,False,0.03940268184213322,0.052591998935409216,True > False
65,False vs True,present_participle_prop,-0.057,False,0.5240466148546444,0.6894283806044785,False,0.008725968258651049,0.00922040019889008,True > False
66,False vs True,past_simple_prop,0.327,False,0.1301212097575287,0.253736359027181,False,0.015535058350107088,0.008356358512837683,False > True
67,False vs True,TTR,0.488,True,0.00044050379337423634,0.010846367157286407,True,0.6774733534820825,0.644112278664966,False > True
68,False vs True,maas,-0.564,False,0.000503032298363678,0.010846367157286407,True,0.04022080016560627,0.04453110086754255,True > False
69,False vs True,MATTR,0.519,True,0.0102924820676535,0.03944430315051616,True,0.8157495117485688,0.8012243336862837,False > True
70,False vs True,simpsons_D,-0.592,False,0.010550799072286163,0.03944430315051616,True,0.011126463278827046,0.012239300801938812,True > False
71,False vs True,TTR_content,0.27,False,0.11339008185388251,0.23690427815900453,False,0.9366615220344867,0.9220899606342657,False > True
72,False vs True,maas_content,-0.27,False,0.11785722795737395,0.23774647708642677,False,0.008022956036306794,0.009839770872910795,True > False
73,False vs True,MATTR_content,0.266,False,0.23259920689081348,0.38684262369416406,False,0.951708936661761,0.9408238760794938,False > True
74,False vs True,simpsons_D_content,-0.239,False,0.14761934357556963,0.27491722676971314,False,0.002325882099125928,0.0028444883918632004,True > False
75,False vs True,maas_verb,0.038,False,0.8516465131429993,0.948977543216485,False,0.006636953074521319,0.006263177974366129,False > True
76,False vs True,simpsons_D_verb,0.067,False,0.8663345237502718,0.9562371630073754,False,0.004459792896243746,0.0039810511662599305,False > True
77,False vs True,avg_sent_height,-0.009,False,0.7258694127928367,0.8755332092449679,False,4.532399544899545,4.53709442941469,True > False
78,False vs True,avg_sent_height_adj,-0.33,False,0.1554080732025011,0.27973453176450197,False,0.22202045115855476,0.2310274060649533,True > False
79,False vs True,sd_sent_height,-0.357,False,0.0804858040126243,0.18109305902840467,False,1.213211842491619,1.3745613404747798,True > False
80,False vs True,avg_dependency_depth_adj,0.222,False,0.14092712256833836,0.27030284164746865,False,2.4678823249918573,2.4210681721367013,False > True
81,False vs True,avg_sd_depth,-0.115,False,0.8972363716069954,0.9630885823671419,False,1.2407784693799941,1.2576536911284573,True > False
82,False vs True,avg_branching_factor,0.117,False,0.7370228199750131,0.8787119330023878,False,2.6651856589978884,2.6463680955100313,False > True
